@RELATION   'derisi0.names : -C 58 '
@ATTRIBUTE root					{0,1}
@ATTRIBUTE GO0003674					{0,1}
@ATTRIBUTE GO0005575					{0,1}
@ATTRIBUTE GO0008150					{0,1}
@ATTRIBUTE GO0003824					{0,1}
@ATTRIBUTE GO0005215					{0,1}
@ATTRIBUTE GO0005488					{0,1}
@ATTRIBUTE GO0032991					{0,1}
@ATTRIBUTE GO0043226					{0,1}
@ATTRIBUTE GO0044422					{0,1}
@ATTRIBUTE GO0044464					{0,1}
@ATTRIBUTE GO0008152					{0,1}
@ATTRIBUTE GO0009987					{0,1}
@ATTRIBUTE GO0050896					{0,1}
@ATTRIBUTE GO0051234					{0,1}
@ATTRIBUTE GO0065007					{0,1}
@ATTRIBUTE GO0016740					{0,1}
@ATTRIBUTE GO0016787					{0,1}
@ATTRIBUTE GO0003676					{0,1}
@ATTRIBUTE GO0005515					{0,1}
@ATTRIBUTE GO0043234					{0,1}
@ATTRIBUTE GO0043227					{0,1}
@ATTRIBUTE GO0043229					{0,1}
@ATTRIBUTE GO0044446					{0,1}
@ATTRIBUTE GO0016020					{0,1}
@ATTRIBUTE GO0044424					{0,1}
@ATTRIBUTE GO0044425					{0,1}
@ATTRIBUTE GO0009058					{0,1}
@ATTRIBUTE GO0043170					{0,1}
@ATTRIBUTE GO0044237					{0,1}
@ATTRIBUTE GO0044238					{0,1}
@ATTRIBUTE GO0016043					{0,1}
@ATTRIBUTE GO0006950					{0,1}
@ATTRIBUTE GO0006810					{0,1}
@ATTRIBUTE GO0051649					{0,1}
@ATTRIBUTE GO0050789					{0,1}
@ATTRIBUTE GO0043231					{0,1}
@ATTRIBUTE GO0044428					{0,1}
@ATTRIBUTE GO0005737					{0,1}
@ATTRIBUTE GO0044444					{0,1}
@ATTRIBUTE GO0019538					{0,1}
@ATTRIBUTE GO0043283					{0,1}
@ATTRIBUTE GO0044260					{0,1}
@ATTRIBUTE GO0006139					{0,1}
@ATTRIBUTE GO0006996					{0,1}
@ATTRIBUTE GO0046907					{0,1}
@ATTRIBUTE GO0019222					{0,1}
@ATTRIBUTE GO0050794					{0,1}
@ATTRIBUTE GO0005634					{0,1}
@ATTRIBUTE GO0005739					{0,1}
@ATTRIBUTE GO0044267					{0,1}
@ATTRIBUTE GO0006259					{0,1}
@ATTRIBUTE GO0016070					{0,1}
@ATTRIBUTE GO0043412					{0,1}
@ATTRIBUTE GO0051276					{0,1}
@ATTRIBUTE GO0031323					{0,1}
@ATTRIBUTE GO0006464					{0,1}
@ATTRIBUTE GO0007001					{0,1}
@ATTRIBUTE  g1                                      numeric
@ATTRIBUTE  g1_bkg                                  numeric
@ATTRIBUTE  r1                                      numeric
@ATTRIBUTE  r1_bkg                                  numeric
@ATTRIBUTE  f1                                      numeric
@ATTRIBUTE  g2                                      numeric
@ATTRIBUTE  g2_bkg                                  numeric
@ATTRIBUTE  r2                                      numeric
@ATTRIBUTE  r2_bkg                                  numeric
@ATTRIBUTE  f2                                      numeric
@ATTRIBUTE  g3                                      numeric
@ATTRIBUTE  g3_bkg                                  numeric
@ATTRIBUTE  r3                                      numeric
@ATTRIBUTE  r3_bkg                                  numeric
@ATTRIBUTE  f3                                      numeric
@ATTRIBUTE  g4                                      numeric
@ATTRIBUTE  g4_bkg                                  numeric
@ATTRIBUTE  r4                                      numeric
@ATTRIBUTE  r4_bkg                                  numeric
@ATTRIBUTE  f4                                      numeric
@ATTRIBUTE  g5                                      numeric
@ATTRIBUTE  g5_bkg                                  numeric
@ATTRIBUTE  r5                                      numeric
@ATTRIBUTE  r5_bkg                                  numeric
@ATTRIBUTE  f5                                      numeric
@ATTRIBUTE  g6                                      numeric
@ATTRIBUTE  g6_bkg                                  numeric
@ATTRIBUTE  r6                                      numeric
@ATTRIBUTE  r6_bkg                                  numeric
@ATTRIBUTE  f6                                      numeric
@ATTRIBUTE  g7                                      numeric
@ATTRIBUTE  g7_bkg                                  numeric
@ATTRIBUTE  r7                                      numeric
@ATTRIBUTE  r7_bkg                                  numeric
@ATTRIBUTE  f7                                      numeric
@ATTRIBUTE  g1_ratio                                numeric
@ATTRIBUTE  g2_ratio                                numeric
@ATTRIBUTE  g3_ratio                                numeric
@ATTRIBUTE  g4_ratio                                numeric
@ATTRIBUTE  g5_ratio                                numeric
@ATTRIBUTE  g6_ratio                                numeric
@ATTRIBUTE  g7_ratio                                numeric
@ATTRIBUTE  r1_ratio                                numeric
@ATTRIBUTE  r2_ratio                                numeric
@ATTRIBUTE  r3_ratio                                numeric
@ATTRIBUTE  r4_ratio                                numeric
@ATTRIBUTE  r5_ratio                                numeric
@ATTRIBUTE  r6_ratio                                numeric
@ATTRIBUTE  r7_ratio                                numeric
@ATTRIBUTE  g1dashbkg                               numeric
@ATTRIBUTE  g2dashbkg                               numeric
@ATTRIBUTE  g3dashbkg                               numeric
@ATTRIBUTE  g4dashbkg                               numeric
@ATTRIBUTE  g5dashbkg                               numeric
@ATTRIBUTE  g6dashbkg                               numeric
@ATTRIBUTE  g7dashbkg                               numeric
@ATTRIBUTE  r1dashbkg                               numeric
@ATTRIBUTE  r2dashbkg                               numeric
@ATTRIBUTE  r3dashbkg                               numeric
@ATTRIBUTE  r4dashbkg                               numeric
@ATTRIBUTE  r5dashbkg                               numeric
@ATTRIBUTE  r6dashbkg                               numeric
@ATTRIBUTE  r7dashbkg                               numeric


@DATA
1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,8159,1787,7847,983,0,9417,2194,9105,1349,0,6246,1298,5868,962,0,6089,1142,4690,757,0,6383,1779,5578,1604,0,8892,2118,7613,1515,0,5407,836,4828,667,0,0.93,0.93,1.01,1.26,1.16,1.11,1.1,1.08,1.08,0.99,0.79,0.86,0.9,0.91,6372,7223,4948,4947,4604,6774,4571,6864,7756,4906,3933,3974,6098,4161
1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4900,2205,3641,1065,0,6828,2658,9788,2163,0,6123,2007,6148,1648,0,5212,1594,4598,1222,0,3361,1739,2331,959,0,5574,2724,4410,2826,0,5604,982,3063,768,0,1.05,0.55,0.91,1.07,1.18,1.8,2.01,0.95,1.82,1.1,0.93,0.85,0.56,0.5,2695,4170,4116,3618,1622,2850,4622,2576,7625,4500,3376,1372,1584,2295
1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,3212,1905,2069,910,0,3751,2278,2876,1618,0,3900,1439,3162,1067,0,1743,948,1270,694,0,3344,1507,2477,1311,0,3970,2574,4167,2350,0,1999,871,2173,823,0,1.13,1.17,1.17,1.38,1.58,0.77,0.84,0.88,0.85,0.85,0.72,0.63,1.3,1.19,1307,1473,2461,795,1837,1396,1128,1159,1258,2095,576,1166,1817,1350
1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3983,2206,2631,1076,0,5601,3297,4932,2598,0,3819,1823,3225,1526,0,2859,1298,2128,921,0,2663,1669,1639,925,0,4093,2610,3871,2609,0,3168,1191,2122,924,0,1.14,0.99,1.17,1.29,1.39,1.18,1.65,0.88,1.01,0.85,0.78,0.72,0.85,0.61,1777,2304,1996,1561,994,1483,1977,1555,2334,1699,1207,714,1262,1198
1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8608,1882,8318,968,0,3714,2048,2795,1156,0,2796,1285,2484,912,0,2510,1119,1679,771,0,4125,1733,3861,1910,0,4526,2091,3022,1628,0,2281,856,1691,661,0,0.92,1.02,0.96,1.53,1.23,1.75,1.38,1.09,0.98,1.04,0.65,0.81,0.57,0.72,6726,1666,1511,1391,2392,2435,1425,7350,1639,1572,908,1951,1394,1030
1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3695,1688,2566,1027,0,5351,2975,4954,2324,0,3608,1768,2840,1382,0,2727,1270,2022,938,0,2566,1617,1703,1015,0,3703,2608,3849,2688,0,3018,1070,3339,879,0,1.3,0.9,1.26,1.34,1.38,0.94,0.79,0.77,1.11,0.79,0.75,0.72,1.06,1.27,2007,2376,1840,1457,949,1095,1948,1539,2630,1458,1084,688,1161,2460
1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5432,2448,4288,1293,0,5643,3140,4306,2054,0,4543,2157,4319,1745,0,3497,1492,2870,1089,0,3773,1869,2847,1316,0,5128,2745,3682,2001,0,3090,1280,3192,895,0,1,1.11,0.93,1.13,1.24,1.42,0.79,1,0.9,1.08,0.88,0.81,0.7,1.27,2984,2503,2386,2005,1904,2383,1810,2995,2252,2574,1781,1531,1681,2297
1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,6594,2735,4750,1304,0,3530,2181,2309,1232,0,3288,1419,2634,1034,0,4250,1268,3360,869,0,5769,1964,4448,1059,0,5078,2170,3383,1334,0,2779,1012,1320,672,0,1.12,1.25,1.17,1.2,1.12,1.42,2.73,0.89,0.8,0.85,0.83,0.89,0.7,0.37,3859,1349,1869,2982,3805,2908,1767,3446,1077,1600,2491,3389,2049,648
1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3840,2463,2564,1408,0,3851,2834,2556,1944,0,2878,1914,2210,1534,0,2110,1357,1434,962,0,2741,1715,1972,1316,0,3383,2615,2342,1838,0,1784,1196,1180,911,0,1.19,1.66,1.43,1.6,1.56,1.52,2.19,0.84,0.6,0.7,0.63,0.64,0.66,0.46,1377,1017,964,753,1026,768,588,1156,612,676,472,656,504,269
1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5938,2683,4102,1336,0,4567,2289,3173,1339,0,3146,1486,2764,1121,0,3753,1284,2798,878,0,4648,1975,3230,1180,0,4722,2169,3285,1312,0,2785,1063,1744,710,0,1.18,1.24,1.01,1.29,1.3,1.29,1.67,0.85,0.81,0.99,0.78,0.77,0.78,0.6,3255,2278,1660,2469,2673,2553,1722,2766,1834,1643,1920,2050,1973,1034
1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6210,2227,5294,1233,0,6226,2801,5382,1836,0,5624,1778,5671,1399,0,3950,1324,3656,963,0,3745,1482,3236,1181,0,6179,2401,4665,1699,0,3587,960,4097,745,0,0.98,0.97,0.9,0.98,1.1,1.27,0.78,1.02,1.03,1.11,1.02,0.91,0.79,1.28,3983,3425,3846,2626,2263,3778,2627,4061,3546,4272,2693,2055,2966,3352
1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8730,2327,10219,1254,0,7455,2790,8097,2067,0,15957,1697,20193,1359,0,8168,1268,5648,926,0,5574,1685,2795,1105,0,8408,2560,4425,2310,0,8938,1001,2887,682,0,0.71,0.77,0.76,1.46,2.3,2.77,3.6,1.41,1.3,1.32,0.68,0.43,0.36,0.28,6403,4665,14260,6900,3889,5848,7937,8965,6030,18834,4722,1690,2115,2205
1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,19982,2056,23912,1195,0,16577,2706,19076,1786,0,23215,1822,24382,1501,0,19568,1284,18249,1048,0,12002,1865,11447,1273,0,14651,2534,14821,2329,0,23662,1189,15926,878,0,0.79,0.8,0.93,1.06,1,0.97,1.49,1.27,1.25,1.08,0.94,1,1.03,0.67,17926,13871,21393,18284,10137,12117,22473,22717,17290,22881,17201,10174,12492,15048
1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4221,2538,2792,1250,0,3673,2438,2409,1423,0,3548,1784,3259,1379,0,3489,1507,2375,1049,0,2942,1546,1703,949,0,4458,2408,3735,1675,0,2664,1124,1452,769,0,1.09,1.25,0.94,1.49,1.85,1,2.25,0.92,0.8,1.06,0.67,0.54,1,0.44,1683,1235,1764,1982,1396,2050,1540,1542,986,1880,1326,754,2060,683
1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,3412,2161,2367,1070,0,4705,2699,4074,1673,0,4097,1623,4712,1283,0,1800,1158,1426,844,0,3309,1621,2235,1130,0,3845,2658,3822,2427,0,1760,854,1968,649,0,0.96,0.84,0.72,1.1,1.53,0.85,0.69,1.04,1.19,1.39,0.91,0.65,1.18,1.45,1251,2006,2474,642,1688,1187,906,1297,2401,3429,582,1105,1395,1319
1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3994,2137,2871,1101,0,4770,2577,4029,1693,0,4054,1633,4701,1201,0,2137,1100,1803,827,0,3174,1635,2168,1219,0,3960,2582,3440,2464,0,2131,849,1672,687,0,1.05,0.94,0.69,1.06,1.62,1.41,1.3,0.95,1.06,1.45,0.94,0.62,0.71,0.77,1857,2193,2421,1037,1539,1378,1282,1770,2336,3500,976,949,976,985
1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4393,2191,4010,1191,0,4888,2606,4131,1668,0,7257,1688,11814,1416,0,3681,1141,3271,847,0,3377,1616,2268,1076,0,3867,2178,3423,1826,0,3287,830,3467,637,0,0.78,0.93,0.54,1.05,1.48,1.06,0.87,1.28,1.08,1.85,0.95,0.68,0.94,1.15,2202,2282,5569,2540,1761,1689,2457,2819,2463,10398,2424,1192,1597,2830
